ZTF19aakiyed 0.044000 II
58596.1948611 1 20.4974 0.283627
58586.4112037 1 20.2133 0.26052
58583.3886921 1 20.3044 0.267116
58580.423831 1 20.1647 0.19021
58580.3076736 1 20.2637 0.254518
58575.3455208 1 20.1094 0.213089
58575.3414005 1 20.2161 0.240391
58572.3484375 1 20.1153 0.303898
58572.3452083 1 19.897 0.245878
58567.2990509 1 19.8164 0.224601
58560.2807292 1 19.9073 0.298021
58547.3471528 1 19.4317 0.129575
58547.3277662 1 19.372 0.173877
58547.3277662 1 19.372 0.173877
58541.432037 1 19.2955 0.120495
58526.4637963 1 19.06 0.117581
58526.4623843 1 19.1993 0.126961
