ZTF19aczkjxn 0.033330 II
58891.4764699 1 20.0368 0.285802
58879.5195023 1 20.2416 0.261875
58879.5190394 1 20.046 0.247748
58876.5398727 1 20.3508 0.206779
58876.5398727 1 20.4142 0.211875
58876.5389815 1 20.0339 0.190595
58876.5389815 1 20.0302 0.192589
58873.5496065 1 20.0596 0.234528
58873.5491551 1 20.5496 0.381668
58855.5025926 1 19.749 0.207357
58852.5266782 1 19.8955 0.207059
58852.5257639 1 20.0037 0.274138
