ZTF19abnagzk 0.090000 Ia
58754.1707523 2 20.462 0.216996
58749.173125 2 20.0854 0.21849
58747.1724769 2 20.1031 0.236883
58746.1971296 2 20.0401 0.224091
58745.1725579 2 19.9144 0.151313
58741.1723495 2 19.7759 0.249054
58736.4128125 2 19.7036 0.145813
58733.4152315 2 19.3597 0.0976927
58730.4071991 2 19.2705 0.107818
58726.3064931 2 19.169 0.140759
58715.3711458 2 18.8761 0.0809817
58712.3782639 2 19.0075 0.113279
58706.4138889 2 19.2472 0.139724
58703.4151736 2 19.5055 0.122445
58699.3841551 2 19.9349 0.159642
