ZTF18abmjyvo 0.055840 Ia
58381.1441898 2 20.1025 0.193772
58374.1321296 2 19.7251 0.123637
58371.1608218 2 19.6997 0.116166
58368.16 2 19.5575 0.0914659
58365.1435532 2 19.4233 0.108863
58362.1390162 2 19.1636 0.0989296
58359.2203356 2 18.871 0.122785
58356.2392014 2 18.959 0.120511
58352.2213542 2 18.9565 0.0949285
58349.2360648 2 19.1201 0.111342
58346.1764352 2 19.4545 0.111909
58343.1595486 2 19.8214 0.137622
