ZTF19abzsogy 0.070000 Ia
58777.1643171 1 20.2393 0.311434
58775.1646412 1 20.1665 0.234596
58774.164537 1 20.103 0.412232
58766.1673148 1 19.5264 0.363159
58764.1679514 1 19.1939 0.18641
58763.3954514 1 19.2138 0.120829
58759.4047338 1 18.9385 0.0816977
58756.4029051 1 18.8213 0.0953135
58749.3227546 1 18.7859 0.0927057
58746.3923032 1 18.9893 0.156682
