ZTF19aavnwxf 0.046900 Ia
58679.1973958 2 18.9958 0.106121
58677.1975926 2 19.1235 0.12712
58676.1978935 2 18.9697 0.132527
58674.2179745 2 19.0512 0.113026
58671.2016667 2 18.7167 0.152901
58670.1796412 2 18.6693 0.0974198
58667.2249769 2 18.4879 0.0859803
58665.2678009 2 18.4545 0.0815087
58661.2053472 2 18.3493 0.0803666
58660.2292014 2 18.3556 0.0603081
58654.1822801 2 18.1093 0.0739103
58651.2406134 2 17.8235 0.0652928
58648.2049769 2 17.6056 0.067099
58647.2406597 2 17.6057 0.0612088
58644.2589468 2 17.613 0.0489722
58642.2370139 2 17.5955 0.0525165
58641.2796875 2 17.6783 0.0640179
58639.186956 2 17.6717 0.0481761
58638.2198843 2 17.8242 0.0692273
58633.1946759 2 18.8025 0.130093
