ZTF19abfiqjg 0.088800 Ic
58709.3987963 2 19.6015 0.182888
58706.4826852 2 19.5882 0.100174
58703.440787 2 19.5106 0.125374
58700.4556366 2 19.2659 0.109753
58697.4216782 2 19.1667 0.107598
58694.4130903 2 19.0181 0.0820241
58691.4227546 2 18.9775 0.100432
58685.4432176 2 18.9291 0.10447
58682.4228935 2 19.0284 0.153461
58676.4868981 2 19.4514 0.159725
