ZTF19aaupkrl 0.036665 Ia
58703.2810301 2 19.4758 0.129213
58691.1784259 2 19.209 0.0949144
58684.2355671 2 19.0947 0.127619
58681.2569329 2 18.774 0.107145
58678.2015856 2 18.827 0.0833128
58671.1981019 2 18.6205 0.0910735
58654.2215394 2 17.8048 0.0630119
58651.2839815 2 17.7235 0.0620546
58648.24 2 17.752 0.060797
58642.2611111 2 17.4737 0.0357526
58636.3312269 2 17.0566 0.0379959
58633.3090162 2 17.0067 0.0356966
58627.3922685 2 17.037 0.0306971
58618.2195602 2 18.4631 0.111786
58617.2884606 2 18.8101 0.119864
58616.310706 2 19.1483 0.122899
