ZTF19accmboe 0.046000 Ia
58812.1148032 1 19.4164 0.199786
58811.0700231 1 19.3758 0.259945
58804.0980787 1 19.2128 0.173956
58801.0919213 1 19.0547 0.170062
58798.1020718 1 18.7709 0.120999
58797.135 1 18.5873 0.121688
58796.1432639 1 18.5964 0.125652
58795.1206944 1 18.5446 0.130979
58794.1331019 1 18.3999 0.0939864
58793.1425231 1 18.35 0.12075
58791.1320486 1 18.0792 0.0862518
58790.1031597 1 18.0548 0.068413
58789.1188889 1 17.9401 0.0770304
58779.1149537 1 17.2038 0.0525394
58776.1150116 1 17.1378 0.0341114
58773.1167708 1 17.0488 0.0685041
58764.2491782 1 17.8855 0.0712824
