ZTF19aakiwxx 0.045000 Ia
58586.2452315 2 19.5396 0.151613
58583.3265625 2 19.4285 0.157748
58583.2707407 2 19.415 0.140916
58580.3627083 2 19.4152 0.141034
58580.3214352 2 19.4379 0.124471
58575.3868287 2 19.227 0.0894938
58575.362037 2 19.119 0.238305
58572.3729977 2 19.051 0.156343
58572.3034028 2 18.9886 0.134903
58567.368669 2 18.6704 0.106742
58567.3302778 2 18.7607 0.0894255
58559.2834606 2 18.2886 0.0792038
58559.2765162 2 18.2769 0.0724609
58543.3660417 2 17.5788 0.0631037
58543.365544 2 17.5675 0.0498159
58538.3667014 2 17.4188 0.111126
58534.4286111 2 17.4568 0.0659699
58534.4267361 2 17.465 0.088162
58526.5181713 2 18.5946 0.0932178
