ZTF19abgurml 0.041000 II
58779.2303241 2 19.5725 0.171837
58776.2076389 2 19.7534 0.21746
58764.3997569 2 19.341 0.148156
58760.2958449 2 19.3241 0.114157
58757.3202199 2 19.3973 0.174036
58749.2943287 2 19.2239 0.173031
58743.3358218 2 19.0162 0.172894
58738.339375 2 19.2657 0.197108
58727.3250926 2 19.2768 0.122668
58710.4214815 2 19.0878 0.152852
58707.4619097 2 19.1505 0.128902
58704.4783449 2 19.1691 0.112031
58696.4619213 2 19.1944 0.118682
58693.4792245 2 19.308 0.107242
58690.4178356 2 19.1634 0.111626
58684.4817477 2 19.5256 0.191137
