ZTF19aailvhf 0.029000 II
58586.3977546 1 20.5127 0.24656
58580.3992014 1 20.3351 0.296621
58572.378912 1 20.2616 0.278108
58568.3926852 1 20.0852 0.306572
58557.4418403 1 19.9385 0.208297
58543.4815741 1 19.4055 0.0951334
58543.4815741 1 19.4055 0.095133
58539.3993056 1 19.4679 0.242204
58526.4721991 1 19.2247 0.156404
58522.5203009 1 19.5397 0.153641
