ZTF20aabqiav 0.050000 II
58911.4293866 1 20.2713 0.226195
58903.5241319 1 20.1 0.168279
58898.4432407 1 19.6279 0.129133
58890.5440625 1 19.3398 0.210772
58887.4620023 1 19.3633 0.194119
58884.4658449 1 18.9714 0.136067
58881.5207292 1 18.8786 0.0809847
58878.540463 1 18.7668 0.0894699
58875.4832407 1 18.6189 0.094962
58872.4448032 1 18.5626 0.0918498
58864.4630787 1 18.17 0.0872194
58861.504919 1 17.9554 0.0726906
58856.5472569 1 18.0306 0.0486235
58853.538287 1 18.0496 0.0530182
58850.5588079 1 18.0476 0.0592265
