ZTF18abscyjj 0.029000 II
58440.5165972 2 20.1172 0.150418
58438.5114583 2 20.0594 0.146175
58437.3917245 2 19.8942 0.176867
58432.519456 2 19.9321 0.181289
58432.3898727 2 19.9605 0.189596
58431.5137847 2 19.7342 0.190223
58429.5178472 2 19.8127 0.119648
58426.5167593 2 19.7025 0.147786
58425.4632176 2 19.8333 0.185976
58423.5071644 2 19.7403 0.152239
58422.513287 2 19.7995 0.197304
58389.515787 2 19.0324 0.100752
58386.4461458 2 19.0495 0.162325
58385.5272222 2 19.156 0.200532
58382.5243403 2 19.0208 0.104907
58379.5189699 2 18.9363 0.102094
58379.5185069 2 18.9767 0.0918015
58376.5180903 2 19.0322 0.1196
58376.5176273 2 19.0541 0.109477
58373.4863657 2 18.848 0.0939989
58373.4859028 2 18.948 0.129877
58370.5056481 2 18.908 0.107917
58370.5051736 2 18.8701 0.131082
58367.5076968 2 18.8438 0.0845585
58367.5072222 2 18.903 0.0870994
58364.5081597 2 18.7852 0.112016
58361.5145833 2 19.0297 0.14416
