ZTF19abhdlxp 0.050000 Ia
58726.4392361 1 20.733 0.217985
58723.4593171 1 20.571 0.281528
58717.4396644 1 19.8067 0.313975
58707.4396528 1 19.3894 0.119936
58704.4580671 1 19.1611 0.0983658
58699.4777083 1 18.937 0.0781005
58696.4426042 1 18.5828 0.0655501
58693.4579745 1 18.4984 0.0829985
58684.4362963 1 18.9219 0.181375
