ZTF19acyogvo 0.050000 Ia
58871.1748843 1 20.2566 0.253931
58864.1158681 1 19.8849 0.17447
58863.140787 1 19.7406 0.199124
58856.1179861 1 19.1878 0.18867
58852.1428125 1 18.7146 0.119294
58852.1170949 1 18.6675 0.0993747
58851.1523148 1 18.5348 0.161642
58849.1346181 1 18.5166 0.0782857
58849.1033912 1 18.5597 0.0745002
58846.2186806 1 18.4376 0.082829
58836.2235301 1 19.025 0.117595
58833.1824537 1 19.7017 0.190294
