ZTF19acchink 0.085980 Ia
58791.2926157 1 20.0649 0.244904
58790.293831 1 20.1664 0.232962
58788.3563542 1 19.983 0.234433
58785.3262153 1 19.402 0.148626
58784.3999306 1 19.6615 0.44422
58781.3913426 1 19.1506 0.150156
58781.3779282 1 19.1359 0.349738
58778.2949884 1 19.0499 0.12333
58775.1874537 1 18.7588 0.103153
58772.3150116 1 18.5503 0.264288
58772.3145602 1 18.7065 0.256224
58769.4840046 1 18.8738 0.313797
58766.3981944 1 18.8664 0.120941
58766.3977315 1 18.8102 0.103171
58763.4140046 1 19.1935 0.120151
58759.4164005 1 19.9999 0.141148
58759.3992708 1 20.2622 0.228245
