ZTF18acpfwmm 0.049300 Ia
58493.277963 2 19.4766 0.151223
58481.4546991 2 19.0135 0.0981065
58480.4277083 2 18.8779 0.128879
58476.4358565 2 18.4838 0.0824293
58474.3396296 2 18.6915 0.133493
58471.2800579 2 18.5367 0.105827
58464.3035069 2 18.2287 0.0726178
58461.5187847 2 18.0805 0.072226
58455.4874884 2 17.7338 0.0561628
58450.3825926 2 17.7174 0.0447838
58447.5039005 2 17.8318 0.0745779
58447.4154051 2 17.8937 0.0670761
58443.4226852 2 18.4229 0.0657061
58440.5175116 2 19.4571 0.158149
