ZTF17aadlxmv 0.062000 Ia
58906.2608102 1 20.1923 0.235598
58900.2985185 1 19.5747 0.120468
58898.239537 1 19.381 0.130711
58898.2390856 1 19.3458 0.149403
58890.3058796 1 18.6278 0.134941
58881.1958333 1 18.0538 0.078026
58879.1940972 1 17.9475 0.0744518
58867.3910764 1 18.786 0.101484
58864.2051968 1 19.88 0.177993
