ZTF19adcdrng 0.080000 Ia
58883.4185532 1 20.0881 0.395257
58876.379537 1 19.6322 0.130302
58876.379537 1 19.633 0.128315
58873.3582176 1 19.4955 0.138577
58863.4189352 1 18.7828 0.118921
58855.4820602 1 18.4641 0.0849575
58852.4805903 1 18.6084 0.0679488
58849.4980903 1 18.8134 0.0879992
58846.5009259 1 19.3576 0.155751
