ZTF20aamgdkb 0.075000 Ia
58915.2428472 1 19.7174 0.271084
58914.2403009 1 19.0509 0.253448
58912.2831944 1 19.0756 0.0907957
58911.3648148 1 19.0383 0.122307
58909.2674769 1 18.7833 0.13381
58908.3260995 1 18.861 0.079933
58906.3443634 1 18.6798 0.066005
58905.2645602 1 18.6169 0.0902828
58904.3045718 1 18.5378 0.060242
58903.3642014 1 18.5575 0.0698995
58900.345544 1 18.4366 0.061305
58899.385625 1 18.4248 0.055661
58898.2805093 1 18.3534 0.060693
58895.2137847 1 18.3607 0.0661363
58894.3295486 1 18.4267 0.0543718
58893.198125 1 18.5181 0.0634111
58891.2218056 1 18.6578 0.0798954
58888.2797569 1 18.8408 0.198493
58887.2449884 1 19.1583 0.161789
58886.465081 1 19.6612 0.246095
58884.4324421 1 20.3532 0.334119
