ZTF19abukbit 0.035000 II
58806.3380324 1 20.3933 0.269896
58790.3364352 1 20.3775 0.202221
58787.3636458 1 20.3011 0.217924
58781.3981597 1 20.4365 0.218159
58765.4508218 1 20.1384 0.150331
58759.4178125 1 20.1971 0.139065
58756.4189236 1 20.1778 0.1888
58748.5033333 1 20.1595 0.235264
58738.4594676 1 19.5647 0.174474
58735.443125 1 19.712 0.126886
58732.4375 1 19.4745 0.104474
58727.4618056 1 19.4031 0.0976014
58724.4621065 1 19.4679 0.102673
