ZTF20aamamnp 0.050000 II
58940.1715394 1 19.9503 0.277694
58915.2094097 1 19.0168 0.143017
58912.2470023 1 18.8039 0.122098
58909.2169097 1 18.7109 0.181749
58903.3051505 1 18.3077 0.085485
58903.2558102 1 18.3876 0.0797106
58898.2729977 1 18.2741 0.065926
58898.2725463 1 18.3174 0.057809
58894.2960995 1 18.3961 0.0653663
58891.2306713 1 18.4818 0.100407
58891.2296065 1 18.5406 0.0981472
58887.2516088 1 19.0848 0.196291
58884.2926505 1 19.2232 0.177982
58884.2736227 1 19.4032 0.208085
58881.247338 1 20.2337 0.307268
