ZTF19acjwdnu 0.053000 II
58838.1271412 1 19.5935 0.307902
58835.1271875 1 19.4458 0.318073
58828.1053588 1 19.3962 0.263435
58811.1687153 1 18.9738 0.113365
58801.1897685 1 18.7296 0.123503
58798.1685764 1 18.4616 0.116903
58794.1889352 1 18.2802 0.083995
58791.2738426 1 18.1927 0.080723
58788.1892361 1 18.2477 0.078823
58785.2118171 1 18.3211 0.0674615
