ZTF19aaurhox 0.070000 Ia
58691.2069213 2 20.4571 0.192832
58684.18125 2 20.1668 0.179245
58684.1789352 2 20.2556 0.191588
58681.2654051 2 19.8812 0.241938
58678.2264931 2 19.9441 0.197609
58678.1996065 2 19.8944 0.179897
58675.25625 2 19.9104 0.195946
58675.2396875 2 19.9636 0.18249
58672.2199653 2 19.8053 0.173292
58672.21625 2 19.7895 0.149848
58669.3202315 2 19.6933 0.159195
58669.3183796 2 19.6424 0.121902
58666.266412 2 19.4028 0.119505
58666.2636111 2 19.4123 0.113726
58663.3205208 2 19.1997 0.0959058
58663.3122338 2 19.1577 0.0935478
58660.2450347 2 19.0868 0.0835312
58657.3728125 2 18.9947 0.0887621
58657.2632639 2 19.0046 0.101426
58653.2035185 2 18.9185 0.0950604
58653.2021181 2 18.9811 0.103092
58650.284537 2 18.9173 0.129839
58650.2711227 2 19.0197 0.124146
58647.284838 2 18.8718 0.0999119
58647.2612616 2 18.8476 0.114561
58644.3072454 2 18.7634 0.0977611
58644.2856134 2 18.6616 0.0900743
58641.3218519 2 18.6884 0.0948643
58641.3054167 2 18.4787 0.0740692
58638.2826968 2 18.515 0.0934745
58638.2798495 2 18.3298 0.0736107
58635.280544 2 18.3498 0.0794867
58635.280081 2 18.2468 0.0633723
58632.3245139 2 18.2925 0.0835065
58632.2978125 2 18.1508 0.0692708
58627.3688194 2 18.3556 0.0907719
58619.3460069 2 19.0366 0.182237
58618.2283449 2 19.3928 0.161128
58617.2842477 2 19.6476 0.161207
58616.3876157 2 20.1157 0.176408
58616.3700231 2 20.0307 0.204646
