ZTF19abqgytb 0.056000 Ia
58766.474537 1 20.2561 0.221237
58759.4506713 1 20.0997 0.224593
58746.4932986 1 19.751 0.203199
58744.5030208 1 19.6648 0.229165
58738.476088 1 19.1497 0.179022
58735.4742014 1 18.8926 0.108121
58732.4492824 1 18.6542 0.090202
58726.4843403 1 18.0058 0.0671419
58723.4863194 1 17.7565 0.0572787
58719.503912 1 17.5566 0.0600392
58716.5098843 1 17.4312 0.066356
58713.4916551 1 17.5198 0.0660905
