ZTF19abyhxzp 0.086000 Ia
58791.3408681 2 19.652 0.155075
58788.2527546 2 19.4626 0.159973
58782.3290972 2 19.2598 0.179984
58779.2317708 2 19.0451 0.120743
58775.1933565 2 18.9266 0.0833634
58772.3597454 2 18.7753 0.257756
58763.3358449 2 18.5176 0.0636384
58760.3169676 2 18.3934 0.0635915
58757.3261806 2 18.3446 0.0555767
58750.3154167 2 18.3212 0.055841
58747.4196875 2 18.4795 0.056015
58744.3794444 2 18.5889 0.107817
58739.3775926 2 19.3571 0.200406
58736.4353472 2 20.0532 0.151128
