ZTF18abobkii 0.059700 Ia
58388.182963 2 18.9738 0.156958
58385.1839931 2 18.9657 0.165524
58381.1446528 2 18.8592 0.0834867
58377.1292593 2 19.0138 0.0894927
58374.1612037 2 18.7006 0.0710908
58371.161875 2 18.5773 0.0730749
58368.1624306 2 18.4346 0.0746176
58365.1440046 2 18.3455 0.0769855
58362.1394676 2 18.3178 0.0637413
58359.2198843 2 18.1656 0.0694151
58356.2148611 2 18.4712 0.0838091
58353.2766667 2 18.4739 0.0668105
58353.149838 2 18.5399 0.0756669
