ZTF19abopflp 0.070000 Ia
58763.3926968 1 20.6465 0.304546
58761.2903472 1 20.7502 0.346121
58760.358044 1 20.3993 0.232676
58750.3621181 1 19.9886 0.170515
58749.3218287 1 19.9352 0.199565
58743.4010185 1 19.2764 0.233288
58741.4968634 1 19.4214 0.293995
58739.4990394 1 19.2414 0.237909
58738.4235532 1 18.9759 0.133131
58736.4572685 1 18.8868 0.0919727
58735.4239931 1 18.8218 0.0892841
58733.4517245 1 18.6841 0.0881903
58730.4744907 1 18.4275 0.0658247
58727.4470023 1 18.2481 0.0603195
58727.4068634 1 18.2312 0.0766045
58724.4491088 1 18.0765 0.0746719
58724.4332755 1 18.13 0.0530774
58718.4110532 1 17.957 0.0616977
58718.4096412 1 17.9322 0.0578751
58715.5078588 1 17.9522 0.0627164
58715.5074074 1 17.9612 0.0908767
58712.4750116 1 18.0898 0.0642948
58709.4812847 1 18.4656 0.0695012
58709.4807986 1 18.5036 0.10295
58706.4586921 1 19.0887 0.14579
58703.4722338 1 20.4327 0.195292
