ZTF19abdzehg 0.024000 Ia
58794.1710417 1 19.9281 0.192059
58791.1911806 1 19.9779 0.205496
58782.2268056 1 19.797 0.154951
58779.1841319 1 19.78 0.137585
58776.1848264 1 19.811 0.117319
58773.1247917 1 19.4171 0.323192
58754.2746296 1 19.4975 0.130238
58747.3026273 1 19.3034 0.108123
58743.3855093 1 19.4721 0.275826
58733.3183102 1 19.1335 0.102557
58730.3014583 1 19.0552 0.104006
58725.3246296 1 18.9145 0.0905212
58712.4722106 1 18.042 0.0780771
58709.4522222 1 17.8135 0.074442
58706.4339583 1 17.5806 0.045325
58700.373912 1 16.9875 0.0389323
58694.4236806 1 16.5542 0.0319884
58691.443206 1 16.3716 0.0369955
58688.4577083 1 16.2905 0.033711
58685.4607986 1 16.2666 0.0308239
58681.4836343 1 16.4737 0.0436034
58669.4789236 1 20.1526 0.213928
58668.4468866 1 20.8636 0.230731
