ZTF19aauitks 0.098000 Ia
58645.2116319 1 19.79 0.210866
58642.1955903 1 19.7679 0.154005
58639.2368056 1 19.6217 0.123116
58636.2540394 1 19.3068 0.110949
58633.2583218 1 19.0607 0.0987471
58628.2116204 1 18.8935 0.0911074
58619.2307292 1 19.045 0.243781
58616.2255903 1 19.2949 0.17549
58612.2527662 1 20.2808 0.221242
