ZTF19aaujzqh 0.042600 Ia
58726.1518056 1 20.5091 0.203336
58723.1845023 1 20.4182 0.268609
58720.1615278 1 20.1329 0.181896
58716.1556019 1 20.2877 0.198049
58710.1643403 1 19.8057 0.257223
58707.2664236 1 19.8122 0.313203
58697.1985532 1 19.9311 0.173277
58694.2180208 1 20.0208 0.179708
58691.2148727 1 19.9933 0.159639
58688.206412 1 20.0098 0.177808
58684.1978356 1 20.0275 0.211387
58681.1769097 1 19.9628 0.285975
58678.2677083 1 19.6294 0.157188
58675.3216898 1 19.5385 0.172897
58672.3045255 1 19.7111 0.172741
58669.2068171 1 19.585 0.132816
58666.248912 1 19.4566 0.118587
58660.1987384 1 19.0713 0.0892241
58657.2252778 1 18.8545 0.0832264
58653.2876505 1 18.547 0.0892518
58650.2199884 1 18.1629 0.0814716
58647.2219444 1 17.8447 0.0547566
58644.2251389 1 17.5662 0.063607
58641.2427894 1 17.2914 0.0433648
58638.3400231 1 17.1236 0.0413907
58635.2220486 1 16.9598 0.0416961
58632.3514931 1 16.9354 0.0395533
58619.2835185 1 17.7835 0.105662
58616.4473032 1 18.6563 0.0664849
