ZTF19abgiwkt 0.010000 II
58836.2235301 1 20.9066 0.36839
58812.3292593 1 21.0629 0.369037
58806.379294 1 20.1907 0.23712
58806.3440972 1 20.2064 0.319995
58805.1940046 1 20.2937 0.278395
58802.1912384 1 19.9506 0.342822
58797.285 1 19.4443 0.197543
58795.2764931 1 19.7111 0.17229
58794.2761111 1 19.7431 0.213388
58791.299537 1 19.5093 0.153242
58791.2875 1 19.5252 0.135881
58790.319294 1 19.4804 0.157642
58789.3668519 1 19.4071 0.147572
58785.4027431 1 19.1859 0.142786
58781.4041088 1 19.0843 0.13036
58778.2991435 1 19.1087 0.151439
58775.3865162 1 18.9579 0.116762
58772.318287 1 18.7826 0.275294
58769.4963079 1 18.9263 0.158644
58766.4569097 1 18.8439 0.0920096
58759.4318866 1 18.8352 0.0992723
58756.410463 1 18.8425 0.115304
58750.3779514 1 18.8881 0.117661
58747.4879861 1 18.7319 0.106794
58744.4855324 1 18.777 0.117134
58738.486713 1 18.7126 0.120572
58735.4492593 1 18.6271 0.114316
58732.4416898 1 18.6889 0.0724525
58727.4709144 1 18.6196 0.0914988
58724.4707523 1 18.6285 0.0890755
58717.4488889 1 18.4527 0.0972947
58714.4951852 1 18.4026 0.079626
58707.4505208 1 18.2298 0.0725584
58704.4499074 1 18.1696 0.0782598
58701.4656134 1 18.0792 0.0814694
58698.4766319 1 18.0047 0.0742569
58695.4482639 1 17.9687 0.0755662
58684.4308449 1 18.045 0.0919302
58681.4722338 1 18.1352 0.0990138
58678.44375 1 18.8747 0.138393
