ZTF18abpmmpo 0.075000 Ia
58389.1227431 2 18.979 0.091187
58386.2013079 2 18.8708 0.12295
58377.1639699 2 18.495 0.0727141
58374.1429167 2 18.3266 0.0774296
58371.1369444 2 18.2881 0.0729706
58368.161956 2 18.2491 0.0706096
58365.1588194 2 18.376 0.0775969
58362.1563194 2 18.4933 0.0721617
58359.2142477 2 18.7148 0.0915476
58356.2238426 2 19.341 0.148145
