ZTF19aaklqod 0.030000 Ia
58912.2147454 2 17.3424 0.0539805
58912.1935301 2 17.3744 0.0506246
58909.3042477 2 17.1381 0.0478862
58909.3033102 2 17.1063 0.0518282
58906.2142824 2 16.9646 0.052916
58906.2138194 2 16.9231 0.035669
58905.205625 2 17.0289 0.060367
58905.2038194 2 16.9161 0.0458759
58903.2132176 2 17.0019 0.043626
58903.2127546 2 16.9415 0.034682
58900.2454167 2 17.1132 0.0533477
58900.2057176 2 17.1548 0.0447118
58899.3063773 2 17.2074 0.0335059
58899.2708218 2 17.1583 0.047222
58899.2461574 2 17.1884 0.036489
58896.2898264 2 17.7308 0.0524618
58896.2548148 2 17.801 0.0568064
58534.3561574 2 17.5349 0.0969107
