ZTF19abuxhqc 0.070000 Ia
58760.3754282 1 19.7925 0.165434
58757.3971065 1 19.5698 0.124205
58750.3587384 1 18.9896 0.0997016
58747.3168519 1 18.8299 0.121211
58739.4843171 1 18.3663 0.10482
58736.4760648 1 18.3512 0.0705731
58733.4562616 1 18.5153 0.0751105
58730.4692477 1 18.8749 0.0724044
58726.4406481 1 19.9047 0.130746
