ZTF19aatqzim 0.050070 II
58657.1964005 1 20.252 0.22518
58653.2576042 1 19.7993 0.221445
58641.1874421 1 19.5486 0.131087
58638.1997685 1 19.5243 0.131101
58635.2026389 1 19.3436 0.126357
58632.1927431 1 19.2385 0.12598
58628.2019329 1 19.02 0.0891206
58622.1751505 1 18.7728 0.162855
58619.2407639 1 18.6846 0.159883
58612.2620023 1 18.5177 0.0732648
58606.4027431 1 20.5425 0.273278
