ZTF19abeizmo 0.065000 Ia
58891.2993403 2 18.6174 0.111488
58890.4064236 2 18.5246 0.109619
58887.1561111 2 18.7337 0.149373
58884.2276968 2 18.5069 0.127368
58878.2782523 2 18.2079 0.106571
58876.2643287 2 18.2164 0.0982405
58875.2585069 2 18.2638 0.072902
58874.2620833 2 18.1202 0.056278
58873.2604861 2 18.131 0.0619442
58871.3058565 2 18.301 0.073255
58867.3635185 2 18.6914 0.126991
58866.3615162 2 18.9842 0.106745
58671.2010532 2 19.2273 0.183116
