ZTF18aaklpdo 0.046000 Ia
58450.5182755 1 18.2955 0.0882277
58450.5178125 1 18.3852 0.0668761
58441.4876273 1 17.51 0.0529676
58440.4842245 1 17.2803 0.0492843
58438.4868634 1 17.2999 0.0685264
58437.5105093 1 17.3461 0.0457738
58434.5255324 1 17.228 0.0482342
58432.4910532 1 17.2768 0.0504421
58430.5279861 1 17.4042 0.0382451
58429.4881019 1 17.4382 0.0642683
58427.5380093 1 17.6666 0.0413752
58426.4931134 1 17.896 0.0882978
58423.4960995 1 18.6307 0.161424
