ZTF18abktphg 0.070000 Ia
58373.363125 1 20.4413 0.213138
58370.3473032 1 20.3833 0.196056
58367.2984028 1 19.9646 0.144365
58364.269456 1 19.7642 0.175017
58361.3958796 1 19.4293 0.163904
58352.3802315 1 18.6546 0.0926177
58349.3583796 1 18.4731 0.0679314
58346.3514931 1 18.3085 0.0639789
58343.3794907 1 18.2143 0.0736032
58340.3718866 1 18.2821 0.121953
58337.3778241 1 18.2915 0.0965391
58334.328206 1 18.5846 0.099368
