ZTF18acqpobb 0.035000 Ia-91T
58567.3622801 2 20.4339 0.362543
58556.4213194 2 20.0217 0.176637
58543.3726505 2 19.6222 0.18031
58538.4622569 2 19.1777 0.278314
58524.458125 2 19.2196 0.0866272
58522.5251157 2 19.0796 0.0867144
58513.4603241 2 18.5957 0.0956564
58511.5388889 2 18.7291 0.0998239
58508.4963079 2 18.5246 0.0824987
58505.5393981 2 18.5284 0.121185
58503.4777546 2 18.4987 0.138786
58494.5521875 2 18.2079 0.0534533
58493.4950694 2 18.2173 0.0565033
58491.5502546 2 18.0262 0.0560718
58486.517338 2 17.8317 0.0470857
58481.510162 2 17.5176 0.0477837
58476.4791898 2 17.3373 0.0500597
58474.4871991 2 17.2249 0.0417032
58468.5309375 2 17.0508 0.0318005
58465.5154051 2 16.9627 0.0585824
58448.557581 2 16.3434 0.0262124
58448.5102431 2 16.3557 0.0290203
