ZTF20aawwcgb 0.041742 Ia
58987.2402894 1 18.8689 0.0592281
58987.2398148 1 19.0099 0.119003
58981.3118171 1 18.4018 0.0949759
58979.2535995 1 18.469 0.0882359
58978.3926736 1 18.1659 0.110929
58976.1945023 1 18.4619 0.109781
58975.2392593 1 18.5243 0.0989801
58973.223831 1 18.5859 0.106287
58972.2691319 1 18.6751 0.089321
58970.2910069 1 19.1319 0.149316
58969.2388542 1 19.4376 0.117884
58967.256412 1 20.0829 0.291783
58966.2614815 1 20.2625 0.247812
