ZTF19acewotx 0.076400 Ia
58812.2079514 2 19.7964 0.130134
58811.150787 2 19.6309 0.145987
58806.2130556 2 19.4917 0.118572
58799.2113079 2 19.1091 0.166909
58792.1850116 2 18.8294 0.0924972
58790.1922338 2 18.7776 0.103996
58789.1337963 2 18.6147 0.0751203
58788.1334144 2 18.6753 0.0921384
58787.1325231 2 18.6977 0.123629
58786.1401505 2 18.587 0.0785396
58783.1336343 2 18.5666 0.0735687
58781.1333218 2 18.4976 0.0991559
58779.1334259 2 18.6513 0.0773742
58778.1336343 2 18.6689 0.0678797
58777.1334375 2 18.6811 0.0990176
58776.1330324 2 18.7364 0.0749227
58775.1332407 2 18.957 0.0874569
58774.1335185 2 18.9734 0.116762
58773.133206 2 19.1186 0.190591
