ZTF19acxysob 0.053000 Ia
58908.4672222 2 20.5438 0.195874
58903.4504977 2 20.4382 0.204983
58901.4499537 2 20.3228 0.307486
58899.4760417 2 20.0774 0.173614
58898.4694444 2 20.3069 0.161099
58893.5365278 2 20.0051 0.181614
58887.4929514 2 19.9231 0.214945
58884.5343519 2 19.7265 0.2034
58881.5316204 2 19.7533 0.128578
58878.5477199 2 19.549 0.251081
58875.5335995 2 19.4586 0.119936
58872.5480787 2 19.3794 0.136642
58867.4936111 2 18.994 0.0929314
58862.4102315 2 18.8059 0.113137
58859.4717245 2 18.6058 0.0810472
58855.5515856 2 18.6921 0.079316
58852.574294 2 18.611 0.0599111
58852.5502546 2 18.6908 0.067224
58838.5623611 2 18.0265 0.134277
58835.4917477 2 17.8948 0.0530899
58833.4996412 2 17.7956 0.0714893
