ZTF18aaflyqi 0.054000 Ia
58812.4377199 1 18.9567 0.0845311
58806.4706713 1 18.5081 0.0817707
58802.5362037 1 18.133 0.0718654
58799.5276968 1 17.8769 0.0712189
58796.5458681 1 17.7296 0.0536135
58790.5281597 1 17.7328 0.0430809
58788.4509491 1 17.8499 0.0523598
58787.456331 1 17.8979 0.0885206
58784.4843056 1 18.2247 0.0896312
