ZTF19acaiylt 0.070000 Ia
58785.4634028 1 20.1493 0.244695
58779.505162 1 19.7423 0.217813
58766.4671991 1 18.6739 0.104389
58763.4709838 1 18.5417 0.0858197
58759.470625 1 18.4514 0.0764365
58756.4712963 1 18.4709 0.0978415
58751.4902431 1 18.7101 0.110656
58748.5137153 1 19.1331 0.120391
58745.5126273 1 19.9933 0.30278
