ZTF19aaujiwc 0.038000 Ia
58672.1952199 2 18.9185 0.114803
58669.1865856 2 19.0148 0.126015
58666.1733333 2 18.9917 0.102194
58663.1933912 2 18.7507 0.0895526
58660.2133912 2 18.7265 0.0731383
58654.1901505 2 18.2065 0.0660904
58651.2521875 2 18.0907 0.11721
58648.2102315 2 18.0627 0.11229
58645.2755324 2 17.8175 0.0714956
58642.2545023 2 17.8308 0.0509458
58639.2757407 2 17.8202 0.0490566
58636.2277315 2 17.6886 0.0578624
58633.3010995 2 17.6032 0.0508785
58628.2859144 2 17.2547 0.0528242
58616.2967245 2 17.2356 0.047912
58612.3388079 2 17.6683 0.0524143
