ZTF19aadnmgf 0.080000 Ia
58581.2357176 2 19.9941 0.206611
58572.2116088 2 19.7948 0.319958
58558.184213 2 19.269 0.175073
58556.2052778 2 19.2757 0.139447
58543.2678009 2 18.7425 0.160992
58541.2744792 2 18.633 0.174089
58540.2216782 2 18.8038 0.130262
58513.4344907 2 18.3538 0.0824037
58513.4195718 2 18.5461 0.065616
58511.4096759 2 18.332 0.0632022
58510.2750231 2 18.4165 0.0789521
58502.505625 2 19.6122 0.32816
