ZTF20aafclqz 0.033500 II
58943.4959491 2 19.666 0.18348
58936.4449074 2 19.5416 0.154219
58914.5322338 2 18.9927 0.080157
58911.4944097 2 18.9871 0.167964
58906.5164815 2 18.9449 0.135904
58903.5186921 2 18.8987 0.07371
58898.5364468 2 18.7247 0.092849
58893.5280787 2 18.6216 0.0657817
58890.4844329 2 18.5778 0.168015
58887.5429282 2 18.4917 0.0892043
58884.556169 2 18.5019 0.0793714
58881.5470833 2 18.4102 0.0538297
58878.5559722 2 18.3972 0.0827404
58875.5438542 2 18.3411 0.077821
58872.5657986 2 18.2558 0.0688841
58864.5166667 2 18.1742 0.0661994
