ZTF20aajcdad 0.018000 Ib
58980.2545833 2 20.1228 0.166718
58974.295081 2 19.9681 0.288196
58968.369838 2 19.7442 0.180328
58965.2729398 2 19.8986 0.187055
58956.308912 2 19.64 0.144866
58954.2665625 2 19.645 0.144257
58941.4250463 2 19.4201 0.127379
58939.4218519 2 19.3837 0.25613
58936.4536921 2 19.3617 0.110732
58914.5109259 2 18.7402 0.0883998
58911.4642361 2 18.4926 0.0921159
58908.4411921 2 18.3834 0.108876
58904.4950347 2 18.0652 0.0771145
58901.455162 2 17.8737 0.0670728
58898.4735764 2 17.6586 0.051217
58893.5068056 2 17.224 0.0601061
58890.4605787 2 17.1404 0.0547516
58887.5233218 2 17.0858 0.0533871
58884.503125 2 17.2014 0.0568186
58881.5363194 2 17.5058 0.0547836
58878.5457639 2 18.1133 0.0791935
58875.5276157 2 18.8964 0.10927
