ZTF19abhztqq 0.100000 Ia
58726.2901157 1 20.7435 0.365102
58725.2888194 1 20.5262 0.283702
58722.2904977 1 20.2504 0.245633
58719.2915972 1 20.0218 0.249736
58718.311412 1 19.952 0.239508
58717.2910069 1 20.0126 0.271131
58716.3110764 1 19.7622 0.199788
58711.2048495 1 19.5272 0.197861
58709.224213 1 19.396 0.170809
58708.2246065 1 19.2518 0.185529
58707.2234954 1 19.2621 0.187571
58706.2265856 1 19.2449 0.118973
58705.2238426 1 19.1966 0.150905
58704.305 1 19.1488 0.14652
58703.309537 1 19.0218 0.139096
58702.3090972 1 19.0681 0.101535
58701.3099074 1 18.9497 0.110232
58700.3063194 1 18.9248 0.109341
58699.3097569 1 18.9505 0.109658
58697.3268287 1 18.9328 0.108827
58696.3075463 1 18.9429 0.0904732
58695.30625 1 19.0133 0.110079
58694.2199306 1 18.9909 0.118009
58693.2421296 1 18.9856 0.115195
58692.226875 1 19.0737 0.093488
58691.2120718 1 19.0717 0.116889
58688.3315509 1 19.4895 0.13716
58685.3639583 1 20.1435 0.307666
