ZTF19abwnpus 0.050000 Ia
58788.1813079 1 20.7712 0.339032
58785.2195949 1 20.5815 0.305647
58781.1833912 1 20.0708 0.240296
58777.1847685 1 20.3596 0.241001
58761.2528704 1 19.2445 0.104879
58754.2727894 1 18.9461 0.084077
58747.2957292 1 18.7412 0.092173
58741.2076736 1 18.6859 0.179992
58736.3066898 1 18.9746 0.147203
58733.3165046 1 19.4305 0.110248
58730.3023495 1 19.7388 0.122428
