ZTF19abqgzea 0.049000 Ia
58750.3992361 1 20.2554 0.321029
58747.498206 1 19.9752 0.260409
58744.5122454 1 19.6367 0.23037
58738.4741088 1 19.1878 0.147994
58735.4691898 1 18.976 0.103434
58732.4460185 1 18.6072 0.0835366
58725.4666319 1 18.2983 0.0707058
58722.4664815 1 18.2281 0.0890606
58719.4953704 1 18.2838 0.085855
58713.4971759 1 19.1581 0.153483
