ZTF19aamhhae 0.040000 Ia
58641.2876157 2 20.1053 0.142015
58638.2383333 2 20.0291 0.145659
58635.2589005 2 20.0055 0.141506
58632.2666667 2 19.7918 0.140223
58628.2962731 2 19.7828 0.146705
58619.3258218 2 19.3081 0.188721
58616.1853588 2 19.1999 0.109686
58612.2399884 2 19.2083 0.079687
58606.2977083 2 18.7383 0.0886573
58602.2951736 2 18.5339 0.0721498
58596.2882407 2 18.3387 0.071581
58589.3043634 2 18.2012 0.108898
58586.3463194 2 18.1878 0.0769279
58583.3062037 2 18.0659 0.0630174
58580.3640625 2 17.8301 0.0498223
58575.3817708 2 17.5516 0.0533983
58572.3693403 2 17.438 0.0578722
58567.3901505 2 17.499 0.0488716
58560.3691319 2 18.0542 0.0621999
