ZTF18abmmdif 0.075000 Ia
58376.221713 1 19.862 0.162111
58373.2420833 1 19.4654 0.136055
58370.2256713 1 19.3042 0.115397
58367.2659028 1 19.0155 0.0914566
58364.2230787 1 18.7623 0.079235
58361.2164815 1 18.5764 0.0905647
58352.3472917 1 18.2741 0.0794958
58349.2208912 1 18.3965 0.0866962
58346.3262384 1 18.6427 0.0919102
58343.3103935 1 19.0726 0.097372
