ZTF19abmtpvz 0.031000 II
58751.3135995 2 19.8254 0.211014
58745.4387153 2 19.6063 0.197436
58739.4597454 2 19.4027 0.292773
58736.503125 2 19.1994 0.121299
58733.5032292 2 19.0551 0.125363
58719.4786806 2 18.7241 0.0941526
58716.4963079 2 18.6809 0.105157
58713.5026389 2 18.6039 0.115306
58710.4378704 2 18.5993 0.134128
58705.4788773 2 18.5041 0.0756009
58698.5006019 2 18.4089 0.057249
