ZTF19aaumvig 0.049000 Ia
58691.2083333 2 19.9543 0.145326
58681.2691435 2 19.6852 0.202666
58678.2283912 2 19.6074 0.153684
58675.2438889 2 19.3689 0.141482
58672.2116204 2 19.3298 0.112264
58669.3170139 2 19.3324 0.124486
58666.2566319 2 19.162 0.0934907
58663.3043519 2 18.9412 0.0847777
58660.2485532 2 18.7981 0.0730209
58657.3433102 2 18.6349 0.0714101
58653.2076968 2 18.4768 0.0709495
58650.2726505 2 18.4863 0.119637
58647.2731481 2 18.3817 0.0699831
58644.2753819 2 18.3524 0.0729009
58641.3133912 2 18.2932 0.0624205
58638.2896644 2 18.0575 0.0518326
58635.2870718 2 17.836 0.0399044
58632.3323495 2 17.7679 0.0540324
58619.3517477 2 18.4417 0.106302
58618.2343634 2 18.6767 0.0915534
58616.3789236 2 19.0879 0.0881214
