ZTF20aahaxjl 0.045000 Ia
58894.2408796 2 19.0097 0.0957845
58894.2287384 2 18.9968 0.115177
58892.2874537 2 18.7362 0.108029
58891.2647569 2 18.7447 0.0853384
58891.1378356 2 18.8378 0.0956296
58884.2029167 2 18.2965 0.0935091
58883.2319213 2 18.2581 0.103867
58883.2249306 2 18.3028 0.0950825
58882.1611343 2 18.2506 0.0758976
58881.2679514 2 18.2211 0.0563906
58880.21125 2 18.3045 0.0663045
58879.2853819 2 18.2465 0.0953977
58877.2702662 2 18.3656 0.0735864
58875.2485764 2 18.6806 0.094356
58874.2710417 2 18.8237 0.085422
58874.2338773 2 18.6779 0.103891
58873.2236227 2 18.9007 0.0840386
58871.2430093 2 19.4782 0.126543
