ZTF19abaeyln 0.085200 Ia
58705.1647454 2 19.6377 0.205538
58698.1766204 2 19.4868 0.168769
58690.1717477 2 19.2543 0.0984035
58684.1868634 2 19.0306 0.103374
58681.2530787 2 18.8392 0.108013
58678.1935648 2 18.7083 0.0864123
58675.2338773 2 18.6457 0.105595
58672.1933912 2 18.5705 0.0643075
58669.1847454 2 18.4643 0.0660634
58666.1719676 2 18.4736 0.101309
58663.1915509 2 18.5754 0.0869136
58654.1887384 2 19.1427 0.124767
