ZTF20aasapko 0.070000 Ia
58944.1546991 2 19.7599 0.208129
58944.1542361 2 19.6234 0.192023
58939.1506713 2 19.5492 0.157056
58938.1732176 2 19.557 0.169305
58938.1660069 2 19.4159 0.157412
58915.1627431 2 18.9597 0.124513
58915.1575579 2 18.8351 0.165053
58912.1802431 2 19.1681 0.115501
58912.1749537 2 19.4237 0.186936
