ZTF18adbhrjs 0.078000 Ia
58511.3792824 2 19.4559 0.118193
58508.4614005 2 19.3554 0.209057
58502.5204514 2 19.0431 0.106514
58494.4554514 2 18.7193 0.0742151
58493.4741551 2 18.7429 0.0688922
58491.5269907 2 18.7002 0.0780835
58486.480787 2 18.8427 0.072818
58481.5233912 2 19.3286 0.123213
58481.4805903 2 19.2782 0.128758
