ZTF19aczllns 0.075000 Ia
58885.1205787 1 19.8665 0.354023
58882.1076157 1 20.1343 0.425895
58874.1648148 1 19.8909 0.207865
58874.1485301 1 19.7336 0.264952
58871.1870949 1 19.5813 0.16058
58863.1328704 1 18.8649 0.104064
58862.1263426 1 18.949 0.09217
58859.0880208 1 18.6986 0.135053
58859.0866667 1 18.6164 0.0848847
58854.1017477 1 18.3484 0.156506
58850.1698264 1 18.2253 0.104472
58850.169375 1 18.1925 0.074367
58846.0952431 1 18.2966 0.100485
58839.128588 1 18.6919 0.293831
58838.1443056 1 18.8225 0.136097
58836.128669 1 19.1135 0.109966
58833.1460995 1 20.2128 0.251427
