ZTF18aaxtcdm 0.075000 Ia
58964.3560764 1 19.4866 0.122852
58954.3983912 1 19.5831 0.163185
58943.4190046 1 19.5817 0.254049
58879.5208565 1 19.5838 0.193444
58876.5416898 1 19.5932 0.123134
58876.5416898 1 19.5891 0.12268
58873.5482523 1 19.5406 0.12658
58852.5244213 1 19.445 0.164819
58715.1532639 1 19.7091 0.164331
58692.1907639 1 19.5993 0.118855
58686.1899884 1 19.5253 0.154089
58680.168588 1 19.4827 0.293458
58674.2049421 1 19.6965 0.230329
58600.3862616 1 19.5211 0.124423
58597.4607176 1 19.4769 0.16228
58594.2745718 1 19.1817 0.275972
58584.4457639 1 19.4706 0.122248
58573.3962616 1 19.5933 0.132052
58568.3982755 1 19.5662 0.168122
58547.3963773 1 19.6608 0.146842
58543.504294 1 19.4712 0.174504
58543.504294 1 19.4712 0.174504
58540.4616204 1 19.6776 0.156659
58526.5442708 1 19.551 0.247708
58492.5452546 1 19.5581 0.167742
58337.1702199 1 19.8143 0.144988
