ZTF19acjuomg 0.106000 Ia
58811.1006481 1 19.8828 0.246368
58805.0947338 1 19.5233 0.233041
58804.0989815 1 19.5643 0.169794
58797.1359144 1 19.1083 0.168864
58796.1334375 1 18.8739 0.147722
58795.1351389 1 18.8544 0.153692
58794.1349074 1 19.0264 0.137152
58793.1326968 1 19.0866 0.153277
58791.1348727 1 19.0952 0.127011
58790.1040625 1 19.1523 0.128053
58789.1692708 1 19.2434 0.138256
58788.1688426 1 19.1879 0.191328
58787.1679167 1 19.3296 0.207259
58786.1756019 1 19.6179 0.20254
58785.1691551 1 19.7024 0.166095
58783.1694444 1 20.2505 0.263974
